Network_Reward,tls_1,tls_2,tls_3,tls_4
-2729.5,-682.375,-682.375,-682.375,-682.375
-2785.5,-696.375,-696.375,-696.375,-696.375
-2752.0,-688.0,-688.0,-688.0,-688.0
-2725.5,-681.375,-681.375,-681.375,-681.375
-2845.0,-711.25,-711.25,-711.25,-711.25
-2915.5,-728.875,-728.875,-728.875,-728.875
-2944.5,-736.125,-736.125,-736.125,-736.125
-2901.5,-725.375,-725.375,-725.375,-725.375
-2621.5,-655.375,-655.375,-655.375,-655.375
-2703.5,-675.875,-675.875,-675.875,-675.875
-2692.0,-673.0,-673.0,-673.0,-673.0
-2691.5,-672.875,-672.875,-672.875,-672.875
-2576.0,-644.0,-644.0,-644.0,-644.0
-2815.5,-703.875,-703.875,-703.875,-703.875
-2698.5,-674.625,-674.625,-674.625,-674.625
-2726.0,-681.5,-681.5,-681.5,-681.5
-2794.0,-698.5,-698.5,-698.5,-698.5
-2614.0,-653.5,-653.5,-653.5,-653.5
-2540.0,-635.0,-635.0,-635.0,-635.0
-2562.5,-640.625,-640.625,-640.625,-640.625
-2633.5,-658.375,-658.375,-658.375,-658.375
-2534.5,-633.625,-633.625,-633.625,-633.625
-2629.5,-657.375,-657.375,-657.375,-657.375
-2620.0,-655.0,-655.0,-655.0,-655.0
-2638.0,-659.5,-659.5,-659.5,-659.5
-2687.0,-671.75,-671.75,-671.75,-671.75
-2658.5,-664.625,-664.625,-664.625,-664.625
-2660.5,-665.125,-665.125,-665.125,-665.125
-2694.0,-673.5,-673.5,-673.5,-673.5
-2638.0,-659.5,-659.5,-659.5,-659.5
-2571.5,-642.875,-642.875,-642.875,-642.875
-2705.0,-676.25,-676.25,-676.25,-676.25
-2622.5,-655.625,-655.625,-655.625,-655.625
-2933.5,-733.375,-733.375,-733.375,-733.375
-2802.5,-700.625,-700.625,-700.625,-700.625
-2561.0,-640.25,-640.25,-640.25,-640.25
-2731.0,-682.75,-682.75,-682.75,-682.75
-2831.0,-707.75,-707.75,-707.75,-707.75
-2772.0,-693.0,-693.0,-693.0,-693.0
-2988.5,-747.125,-747.125,-747.125,-747.125
-2645.5,-661.375,-661.375,-661.375,-661.375
-2725.0,-681.25,-681.25,-681.25,-681.25
-2633.5,-658.375,-658.375,-658.375,-658.375
-2734.5,-683.625,-683.625,-683.625,-683.625
-2579.0,-644.75,-644.75,-644.75,-644.75
-2634.0,-658.5,-658.5,-658.5,-658.5
-2664.5,-666.125,-666.125,-666.125,-666.125
-2905.5,-726.375,-726.375,-726.375,-726.375
-2526.0,-631.5,-631.5,-631.5,-631.5
-2630.5,-657.625,-657.625,-657.625,-657.625
-2669.5,-667.375,-667.375,-667.375,-667.375
-2710.0,-677.5,-677.5,-677.5,-677.5
-2517.0,-629.25,-629.25,-629.25,-629.25
-2672.5,-668.125,-668.125,-668.125,-668.125
-2607.5,-651.875,-651.875,-651.875,-651.875
-3045.0,-761.25,-761.25,-761.25,-761.25
-2667.5,-666.875,-666.875,-666.875,-666.875
-2609.5,-652.375,-652.375,-652.375,-652.375
-2652.0,-663.0,-663.0,-663.0,-663.0
-2755.0,-688.75,-688.75,-688.75,-688.75
-2733.0,-683.25,-683.25,-683.25,-683.25
-3400.0,-850.0,-850.0,-850.0,-850.0
-2833.0,-708.25,-708.25,-708.25,-708.25
-2772.5,-693.125,-693.125,-693.125,-693.125
-2755.5,-688.875,-688.875,-688.875,-688.875
-2687.0,-671.75,-671.75,-671.75,-671.75
-2675.5,-668.875,-668.875,-668.875,-668.875
-2582.5,-645.625,-645.625,-645.625,-645.625
-2748.0,-687.0,-687.0,-687.0,-687.0
-2535.0,-633.75,-633.75,-633.75,-633.75
-2629.5,-657.375,-657.375,-657.375,-657.375
-2702.5,-675.625,-675.625,-675.625,-675.625
-2688.5,-672.125,-672.125,-672.125,-672.125
-2728.0,-682.0,-682.0,-682.0,-682.0
-2615.5,-653.875,-653.875,-653.875,-653.875
-2661.0,-665.25,-665.25,-665.25,-665.25
-2603.5,-650.875,-650.875,-650.875,-650.875
-2612.5,-653.125,-653.125,-653.125,-653.125
-2555.5,-638.875,-638.875,-638.875,-638.875
-2503.0,-625.75,-625.75,-625.75,-625.75
-2573.5,-643.375,-643.375,-643.375,-643.375
-2566.5,-641.625,-641.625,-641.625,-641.625
-2563.5,-640.875,-640.875,-640.875,-640.875
-2609.5,-652.375,-652.375,-652.375,-652.375
-2606.0,-651.5,-651.5,-651.5,-651.5
-2542.0,-635.5,-635.5,-635.5,-635.5
-2574.5,-643.625,-643.625,-643.625,-643.625
-2643.5,-660.875,-660.875,-660.875,-660.875
-2567.0,-641.75,-641.75,-641.75,-641.75
-2499.5,-624.875,-624.875,-624.875,-624.875
-2531.5,-632.875,-632.875,-632.875,-632.875
