Network_Reward,Group_A_Reward,Group_B_Reward,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-1659.0,-847.0,-812.0,-211.75,-211.75,-211.75,-211.75,-203.0,-203.0,-203.0,-203.0
-1863.5,-954.0,-909.5,-238.5,-238.5,-238.5,-238.5,-227.375,-227.375,-227.375,-227.375
-1779.0,-868.0,-911.0,-217.0,-217.0,-217.0,-217.0,-227.75,-227.75,-227.75,-227.75
-1896.0,-1033.5,-862.5,-258.375,-258.375,-258.375,-258.375,-215.625,-215.625,-215.625,-215.625
-1613.5,-857.5,-756.0,-214.375,-214.375,-214.375,-214.375,-189.0,-189.0,-189.0,-189.0
-1651.0,-921.0,-730.0,-230.25,-230.25,-230.25,-230.25,-182.5,-182.5,-182.5,-182.5
-1642.5,-813.5,-829.0,-203.375,-203.375,-203.375,-203.375,-207.25,-207.25,-207.25,-207.25
-1731.5,-895.0,-836.5,-223.75,-223.75,-223.75,-223.75,-209.125,-209.125,-209.125,-209.125
-1551.5,-885.5,-666.0,-221.375,-221.375,-221.375,-221.375,-166.5,-166.5,-166.5,-166.5
-1677.5,-847.0,-830.5,-211.75,-211.75,-211.75,-211.75,-207.625,-207.625,-207.625,-207.625
-1717.0,-879.5,-837.5,-219.875,-219.875,-219.875,-219.875,-209.375,-209.375,-209.375,-209.375
-1717.0,-876.0,-841.0,-219.0,-219.0,-219.0,-219.0,-210.25,-210.25,-210.25,-210.25
-1509.5,-795.0,-714.5,-198.75,-198.75,-198.75,-198.75,-178.625,-178.625,-178.625,-178.625
-1746.0,-837.5,-908.5,-209.375,-209.375,-209.375,-209.375,-227.125,-227.125,-227.125,-227.125
-2057.0,-973.5,-1083.5,-243.375,-243.375,-243.375,-243.375,-270.875,-270.875,-270.875,-270.875
-1629.0,-751.0,-878.0,-187.75,-187.75,-187.75,-187.75,-219.5,-219.5,-219.5,-219.5
-1824.0,-850.0,-974.0,-212.5,-212.5,-212.5,-212.5,-243.5,-243.5,-243.5,-243.5
-1901.5,-1012.0,-889.5,-253.0,-253.0,-253.0,-253.0,-222.375,-222.375,-222.375,-222.375
-1638.0,-819.0,-819.0,-204.75,-204.75,-204.75,-204.75,-204.75,-204.75,-204.75,-204.75
-1881.5,-924.0,-957.5,-231.0,-231.0,-231.0,-231.0,-239.375,-239.375,-239.375,-239.375
-1607.0,-841.5,-765.5,-210.375,-210.375,-210.375,-210.375,-191.375,-191.375,-191.375,-191.375
-1685.0,-888.0,-797.0,-222.0,-222.0,-222.0,-222.0,-199.25,-199.25,-199.25,-199.25
-1642.5,-866.0,-776.5,-216.5,-216.5,-216.5,-216.5,-194.125,-194.125,-194.125,-194.125
-1677.0,-963.5,-713.5,-240.875,-240.875,-240.875,-240.875,-178.375,-178.375,-178.375,-178.375
-1646.5,-917.5,-729.0,-229.375,-229.375,-229.375,-229.375,-182.25,-182.25,-182.25,-182.25
-1813.5,-962.5,-851.0,-240.625,-240.625,-240.625,-240.625,-212.75,-212.75,-212.75,-212.75
-1698.5,-873.0,-825.5,-218.25,-218.25,-218.25,-218.25,-206.375,-206.375,-206.375,-206.375
-1841.0,-889.5,-951.5,-222.375,-222.375,-222.375,-222.375,-237.875,-237.875,-237.875,-237.875
-1649.0,-915.0,-734.0,-228.75,-228.75,-228.75,-228.75,-183.5,-183.5,-183.5,-183.5
-1741.0,-916.5,-824.5,-229.125,-229.125,-229.125,-229.125,-206.125,-206.125,-206.125,-206.125
-1686.5,-854.0,-832.5,-213.5,-213.5,-213.5,-213.5,-208.125,-208.125,-208.125,-208.125
-1539.5,-755.0,-784.5,-188.75,-188.75,-188.75,-188.75,-196.125,-196.125,-196.125,-196.125
-1629.5,-819.5,-810.0,-204.875,-204.875,-204.875,-204.875,-202.5,-202.5,-202.5,-202.5
-1635.5,-815.5,-820.0,-203.875,-203.875,-203.875,-203.875,-205.0,-205.0,-205.0,-205.0
-1800.0,-928.5,-871.5,-232.125,-232.125,-232.125,-232.125,-217.875,-217.875,-217.875,-217.875
-1800.5,-1044.0,-756.5,-261.0,-261.0,-261.0,-261.0,-189.125,-189.125,-189.125,-189.125
-1723.5,-919.5,-804.0,-229.875,-229.875,-229.875,-229.875,-201.0,-201.0,-201.0,-201.0
-1777.0,-954.5,-822.5,-238.625,-238.625,-238.625,-238.625,-205.625,-205.625,-205.625,-205.625
-1800.0,-918.0,-882.0,-229.5,-229.5,-229.5,-229.5,-220.5,-220.5,-220.5,-220.5
-1619.0,-845.5,-773.5,-211.375,-211.375,-211.375,-211.375,-193.375,-193.375,-193.375,-193.375
-1730.0,-920.0,-810.0,-230.0,-230.0,-230.0,-230.0,-202.5,-202.5,-202.5,-202.5
-1884.0,-992.0,-892.0,-248.0,-248.0,-248.0,-248.0,-223.0,-223.0,-223.0,-223.0
-1654.5,-812.0,-842.5,-203.0,-203.0,-203.0,-203.0,-210.625,-210.625,-210.625,-210.625
-1850.5,-1043.5,-807.0,-260.875,-260.875,-260.875,-260.875,-201.75,-201.75,-201.75,-201.75
-1681.5,-905.5,-776.0,-226.375,-226.375,-226.375,-226.375,-194.0,-194.0,-194.0,-194.0
-1691.0,-894.5,-796.5,-223.625,-223.625,-223.625,-223.625,-199.125,-199.125,-199.125,-199.125
-1540.5,-746.5,-794.0,-186.625,-186.625,-186.625,-186.625,-198.5,-198.5,-198.5,-198.5
