Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-5391.5,-2716.0,-2675.5,9.828761514027914,8.880089215437572,-772.5,-625.5,-701.0,-617.0,-787.0,-754.0,-461.0,-673.5
-4233.5,-2422.0,-1811.5,9.657923250728183,8.427562585804198,-864.5,-603.0,-546.0,-408.5,-564.5,-419.5,-368.0,-459.5
-4880.0,-2594.0,-2286.0,9.679607152938843,8.343112081951565,-819.5,-422.5,-855.5,-496.5,-851.0,-488.0,-359.0,-588.0
-5492.0,-2939.0,-2553.0,9.177632602718141,8.231472612089581,-846.5,-388.0,-837.0,-867.5,-544.5,-753.5,-566.0,-689.0
-5156.0,-2662.5,-2493.5,8.858938481410345,7.807838596900305,-882.5,-624.0,-525.5,-630.5,-793.0,-485.0,-583.0,-632.5
-5078.0,-2702.0,-2376.0,8.643244032727347,8.213001152541903,-882.0,-412.5,-636.5,-771.0,-716.0,-587.5,-533.0,-539.5
-4329.5,-2414.0,-1915.5,8.515457852019203,8.183021680514019,-632.0,-512.0,-738.0,-532.0,-535.5,-575.0,-438.5,-366.5
-6084.0,-3310.0,-2774.0,8.411395247777303,7.774188904629813,-958.5,-811.5,-889.5,-650.5,-882.5,-761.0,-662.0,-468.5
-5771.5,-2855.0,-2916.5,8.543299733930164,7.726637760135863,-712.5,-877.0,-618.5,-647.0,-1334.5,-607.0,-355.0,-620.0
-4741.5,-2341.5,-2400.0,8.775172458092372,7.84643027053939,-637.0,-480.5,-634.5,-589.5,-756.5,-678.5,-436.5,-528.5
-5284.0,-3093.0,-2191.0,8.862540683481429,7.488078182935714,-853.0,-540.0,-1007.5,-692.5,-527.5,-481.0,-507.0,-675.5
-4713.0,-2587.0,-2126.0,8.970054160224066,7.3865128053559195,-692.5,-416.5,-698.5,-779.5,-540.0,-616.0,-441.5,-528.5
-4047.0,-2237.5,-1809.5,8.60272714694341,7.2741196003225115,-629.5,-549.0,-498.5,-560.5,-463.0,-472.0,-415.5,-459.0
-5163.5,-2502.5,-2661.0,8.878007143735886,7.179533094829983,-695.0,-482.0,-694.5,-631.0,-1195.5,-557.5,-407.5,-500.5
-3940.5,-2104.0,-1836.5,8.28870149784618,7.205867789851295,-557.5,-443.5,-528.0,-575.0,-533.5,-506.5,-331.0,-465.5
-4734.0,-2713.5,-2020.5,8.258556529548432,6.990890816847483,-753.5,-640.0,-902.0,-418.0,-579.5,-542.0,-403.0,-496.0
-4962.0,-2476.5,-2485.5,8.137349304887984,6.688736650678846,-741.5,-450.0,-615.5,-669.5,-859.0,-553.5,-484.0,-589.0
-4431.0,-2351.5,-2079.5,7.739514421754413,6.451788884401322,-602.5,-532.0,-561.0,-656.0,-660.5,-378.5,-514.5,-526.0
-5007.0,-2173.5,-2833.5,7.653681582874722,6.464154328902563,-758.5,-388.5,-437.5,-589.0,-588.5,-697.0,-490.5,-1057.5
-4849.0,-2619.0,-2230.0,7.48812385863728,6.743125540680356,-645.0,-496.5,-634.5,-843.0,-552.0,-474.5,-718.0,-485.5
-4280.0,-2394.5,-1885.5,7.2580100582705604,6.4767550200223925,-663.5,-439.0,-537.0,-755.0,-354.5,-450.0,-584.0,-497.0
-4717.5,-2490.0,-2227.5,7.351120125585132,6.4359383033381565,-593.5,-564.5,-773.0,-559.0,-561.0,-573.5,-568.0,-525.0
-4904.5,-2182.0,-2722.5,7.271529369221794,6.3022065771950615,-482.0,-328.0,-825.0,-547.0,-859.5,-438.0,-511.0,-914.0
-4603.5,-2496.0,-2107.5,7.081659610403909,6.08185259103775,-727.0,-380.0,-743.0,-646.0,-502.5,-603.0,-556.0,-446.0
-5005.5,-2552.0,-2453.5,6.990951139397091,6.311370709869597,-596.5,-450.0,-717.5,-788.0,-838.0,-574.5,-458.0,-583.0
-4414.5,-2245.5,-2169.0,6.99677932328648,6.425923864046733,-728.0,-408.0,-660.0,-449.5,-489.0,-630.5,-446.5,-603.0
-4171.5,-2006.0,-2165.5,7.164953310622109,6.184675800800323,-457.5,-350.5,-683.5,-514.5,-604.0,-621.0,-437.5,-503.0
-3917.5,-1909.0,-2008.5,6.585405955712001,6.366898923450046,-548.5,-373.5,-606.0,-381.0,-511.0,-676.5,-353.0,-468.0
-4487.5,-2263.5,-2224.0,6.683035318719016,6.341775701443354,-868.0,-457.0,-474.5,-464.0,-508.0,-787.5,-450.5,-478.0
